video,prompt,visual_quality_mean,visual_quality_std,temporal_consistency_mean,temporal_consistency_std,dynamic_degree_mean,dynamic_degree_std,text_to_video_alignment_mean,text_to_video_alignment_std,factual_consistency_mean,factual_consistency_std
0000_alpha_357741999.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",2.281,0.0,2.469,0.0,2.812,0.0,2.844,0.0,2.312,0.0
0000_hunyuan_1724.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",2.031,0.0,1.766,0.0,3.078,0.0,2.781,0.0,1.852,0.0
0000_pika_1657819738.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",2.125,0.0,2.438,0.0,2.734,0.0,2.766,0.0,2.422,0.0
0000_ray2_1.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",2.297,0.0,2.359,0.0,2.812,0.0,2.719,0.0,2.203,0.0
0000_sora_0.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",2.094,0.0,1.828,0.0,3.078,0.0,2.828,0.0,1.945,0.0
0001_alpha_219242721.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.594,0.0,2.594,0.0,2.547,0.0,2.344,0.0,2.312,0.0
0001_hunyuan_1724.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.625,0.0,2.422,0.0,2.938,0.0,2.641,0.0,2.312,0.0
0001_pika_2470897855.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.531,0.0,2.547,0.0,2.672,0.0,2.484,0.0,2.234,0.0
0001_ray2_1.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.484,0.0,2.562,0.0,2.609,0.0,2.453,0.0,2.469,0.0
0001_sora_0.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.484,0.0,2.219,0.0,2.938,0.0,2.5,0.0,2.109,0.0
0002_alpha_3590243511.mp4,"A 'day in the life' of a cutting-edge urban dance crew rehearsing for a global competition. Showcase their intense training, creative choreography sessions, high-tech stage setups, team dynamics, and the adrenaline-filled moments of their electrifying performance under the city lights.",2.312,0.0,2.172,0.0,2.797,0.0,2.766,0.0,2.125,0.0
