video,prompt,visual_quality_mean,visual_quality_std,temporal_consistency_mean,temporal_consistency_std,dynamic_degree_mean,dynamic_degree_std,text_to_video_alignment_mean,text_to_video_alignment_std,factual_consistency_mean,factual_consistency_std
0000_alpha_357741999_alpha_0.1.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.781,0.022,3.75,0.022,4.031,0.0,3.927,0.007,3.927,0.015
0000_alpha_357741999_alpha_0.2.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.755,0.007,3.755,0.007,4.052,0.015,3.927,0.007,3.922,0.013
0000_alpha_357741999_alpha_0.3.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.734,0.022,3.75,0.022,4.031,0.0,3.943,0.007,3.896,0.007
0000_alpha_357741999_alpha_0.5.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.734,0.0,3.76,0.007,4.031,0.0,3.922,0.0,3.901,0.007
0000_alpha_357741999_alpha_0.4.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.734,0.0,3.724,0.007,4.01,0.015,3.896,0.007,3.901,0.007
0000_alpha_357741999_alpha_0.7.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.745,0.029,3.771,0.015,4.021,0.015,3.932,0.007,3.932,0.029
0000_alpha_357741999_alpha_0.8.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.719,0.0,3.75,0.0,4.031,0.0,3.922,0.0,3.875,0.0
0000_alpha_357741999_alpha_0.6.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.75,0.0,3.781,0.0,4.062,0.0,3.927,0.007,3.932,0.007
0000_alpha_357741999_alpha_0.9.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.745,0.015,3.745,0.007,4.042,0.015,3.922,0.0,3.922,0.0
0000_hunyuan_1724_alpha_0.2.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.714,0.039,3.797,0.046,4.073,0.029,3.906,0.013,3.938,0.0
0000_hunyuan_1724_alpha_0.3.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.719,0.044,3.812,0.022,4.062,0.0,3.896,0.029,3.927,0.029
0000_hunyuan_1724_alpha_0.1.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.74,0.059,3.812,0.044,4.073,0.029,3.938,0.044,3.953,0.0
0000_alpha_357741999_alpha_1.0.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.74,0.007,3.76,0.007,4.031,0.0,3.911,0.015,3.901,0.007
0000_hunyuan_1724_alpha_0.4.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.719,0.034,3.802,0.045,4.052,0.029,3.911,0.019,3.938,0.026
0000_hunyuan_1724_alpha_0.5.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.729,0.015,3.823,0.015,4.042,0.015,3.906,0.022,3.927,0.007
0000_hunyuan_1724_alpha_0.6.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.703,0.022,3.781,0.022,4.052,0.015,3.896,0.007,3.927,0.007
