video,prompt,visual_quality_mean,visual_quality_std,temporal_consistency_mean,temporal_consistency_std,dynamic_degree_mean,dynamic_degree_std,text_to_video_alignment_mean,text_to_video_alignment_std,factual_consistency_mean,factual_consistency_std
0000_alpha_357741999_alpha_0.2.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.87,0.007,3.891,0.0,3.906,0.0,3.552,0.007,3.927,0.007
0000_alpha_357741999_alpha_0.3.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.891,0.013,3.896,0.007,3.911,0.007,3.547,0.013,3.943,0.007
0000_alpha_357741999_alpha_0.8.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.891,0.0,3.885,0.007,3.906,0.013,3.526,0.015,3.932,0.007
0000_alpha_357741999_alpha_0.4.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.891,0.0,3.891,0.013,3.901,0.007,3.547,0.013,3.932,0.007
0000_alpha_357741999_alpha_0.7.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.891,0.0,3.901,0.007,3.917,0.007,3.542,0.015,3.938,0.0
0000_alpha_357741999_alpha_0.6.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.896,0.007,3.896,0.007,3.922,0.0,3.552,0.019,3.938,0.0
0000_alpha_357741999_alpha_0.1.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.76,0.019,3.792,0.029,3.849,0.037,3.51,0.019,3.854,0.029
0000_alpha_357741999_alpha_0.5.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.896,0.007,3.901,0.007,3.911,0.007,3.547,0.013,3.938,0.0
0000_hunyuan_1724_alpha_0.1.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.964,0.007,4.01,0.015,4.031,0.0,3.911,0.007,4.01,0.015
0000_hunyuan_1724_alpha_0.2.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.969,0.0,4.021,0.015,4.052,0.015,3.906,0.013,4.01,0.015
