video,prompt,visual_quality_mean,visual_quality_std,temporal_consistency_mean,temporal_consistency_std,dynamic_degree_mean,dynamic_degree_std,text_to_video_alignment_mean,text_to_video_alignment_std,factual_consistency_mean,factual_consistency_std
0000_alpha_357741999_alpha_0.1.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",2.531,0.038,2.776,0.039,2.854,0.029,3.13,0.015,2.688,0.038
0000_alpha_357741999_alpha_0.5.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",2.547,0.044,2.755,0.052,2.875,0.013,3.104,0.015,2.693,0.052
0000_alpha_357741999_alpha_0.6.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",2.562,0.026,2.797,0.013,2.885,0.007,3.099,0.007,2.719,0.026
0000_alpha_357741999_alpha_0.4.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",2.526,0.039,2.75,0.056,2.891,0.034,3.115,0.007,2.672,0.056
0000_alpha_357741999_alpha_0.7.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",2.573,0.007,2.797,0.013,2.891,0.013,3.089,0.007,2.724,0.007
0000_alpha_357741999_alpha_0.8.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",2.568,0.019,2.766,0.046,2.906,0.034,3.089,0.007,2.703,0.034
0000_alpha_357741999_alpha_0.2.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",2.562,0.046,2.812,0.064,2.859,0.034,3.125,0.022,2.714,0.052
0000_alpha_357741999_alpha_0.3.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",2.521,0.015,2.76,0.019,2.88,0.015,3.115,0.007,2.682,0.007
0000_hunyuan_1724_alpha_0.2.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.802,0.007,3.901,0.007,3.896,0.007,3.865,0.007,3.844,0.0
0000_hunyuan_1724_alpha_0.1.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.786,0.019,3.88,0.007,3.88,0.007,3.839,0.015,3.823,0.015
0000_hunyuan_1724_alpha_0.3.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.786,0.007,3.891,0.0,3.891,0.0,3.844,0.013,3.828,0.0
0000_hunyuan_1724_alpha_0.5.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.792,0.007,3.901,0.007,3.891,0.0,3.854,0.019,3.823,0.007
0000_hunyuan_1724_alpha_0.4.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.812,0.0,3.906,0.0,3.906,0.0,3.865,0.007,3.844,0.0
0000_alpha_357741999_alpha_0.9.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",2.594,0.013,2.807,0.041,2.854,0.027,3.078,0.0,2.74,0.027
0000_alpha_357741999_alpha_1.0.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",2.552,0.029,2.745,0.048,2.854,0.032,3.052,0.007,2.693,0.041
0000_alpha_357741999_sora_watermark.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.156,0.102,3.297,0.077,3.38,0.07,3.302,0.041,3.25,0.084
0000_hunyuan_1724_alpha_0.6.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.807,0.007,3.911,0.007,3.906,0.0,3.854,0.007,3.844,0.013
0000_hunyuan_1724_alpha_0.7.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.792,0.007,3.896,0.007,3.896,0.007,3.854,0.007,3.844,0.0
0000_hunyuan_1724_alpha_0.8.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.802,0.007,3.901,0.007,3.906,0.0,3.859,0.0,3.839,0.007
0000_hunyuan_1724_alpha_1.0.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.802,0.015,3.896,0.007,3.906,0.0,3.87,0.015,3.833,0.015
0000_hunyuan_1724_alpha_0.9.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.792,0.015,3.885,0.015,3.885,0.015,3.839,0.007,3.823,0.015
0000_hunyuan_1724_sora_watermark.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.865,0.007,3.964,0.007,3.938,0.0,3.786,0.007,3.922,0.013
0000_pika_1657819738_alpha_0.1.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",2.427,0.015,2.755,0.015,2.76,0.007,3.031,0.0,2.724,0.007
0000_pika_1657819738_alpha_0.2.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",2.406,0.013,2.734,0.013,2.75,0.0,3.026,0.015,2.693,0.007
0000_pika_1657819738_alpha_0.3.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",2.406,0.0,2.719,0.0,2.781,0.0,3.031,0.0,2.703,0.0
0000_pika_1657819738_alpha_0.4.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",2.411,0.019,2.729,0.019,2.766,0.0,3.021,0.007,2.703,0.013
0000_pika_1657819738_alpha_0.5.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",2.396,0.015,2.703,0.013,2.802,0.007,3.021,0.007,2.698,0.007
0000_pika_1657819738_alpha_0.7.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",2.375,0.013,2.693,0.007,2.792,0.007,3.021,0.007,2.682,0.007
0000_pika_1657819738_alpha_0.6.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",2.385,0.007,2.703,0.013,2.797,0.013,3.026,0.007,2.698,0.007
0000_pika_1657819738_alpha_0.8.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",2.391,0.013,2.693,0.007,2.786,0.007,3.016,0.0,2.688,0.013
0000_pika_1657819738_alpha_1.0.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",2.391,0.013,2.688,0.013,2.792,0.007,3.021,0.007,2.698,0.007
0000_pika_1657819738_alpha_0.9.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",2.37,0.019,2.693,0.015,2.781,0.013,3.021,0.007,2.682,0.007
0000_pika_1657819738_sora_watermark.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",2.438,0.0,2.661,0.007,2.818,0.007,2.938,0.0,2.688,0.0
0000_ray2_1_alpha_0.1.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.812,0.013,3.917,0.007,3.807,0.007,3.792,0.007,3.901,0.007
0000_ray2_1_alpha_0.2.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.828,0.0,3.932,0.007,3.812,0.0,3.771,0.007,3.911,0.007
0000_ray2_1_alpha_0.5.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.865,0.007,3.948,0.007,3.865,0.007,3.766,0.0,3.948,0.019
0000_ray2_1_alpha_0.3.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.849,0.007,3.953,0.0,3.844,0.0,3.781,0.0,3.938,0.013
0000_ray2_1_alpha_0.4.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.859,0.0,3.953,0.0,3.854,0.007,3.755,0.007,3.943,0.007
0000_ray2_1_alpha_0.7.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.88,0.007,3.958,0.007,3.875,0.0,3.734,0.013,3.964,0.007
0000_ray2_1_alpha_0.6.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.87,0.007,3.969,0.0,3.875,0.0,3.74,0.007,3.948,0.007
0000_ray2_1_alpha_0.8.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.854,0.007,3.943,0.007,3.87,0.007,3.734,0.013,3.943,0.007
0000_ray2_1_alpha_0.9.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.859,0.0,3.938,0.0,3.865,0.007,3.724,0.007,3.938,0.0
0000_sora_0_alpha_0.1.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.443,0.015,3.557,0.007,3.797,0.0,3.859,0.013,3.484,0.013
0000_sora_0_alpha_0.2.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.438,0.034,3.552,0.027,3.792,0.007,3.849,0.015,3.484,0.034
0000_ray2_1_alpha_1.0.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.844,0.0,3.922,0.0,3.87,0.007,3.75,0.0,3.938,0.0
0000_ray2_1_sora_watermark.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.906,0.0,4.0,0.0,3.885,0.007,3.667,0.007,4.0,0.0
0000_sora_0_alpha_0.3.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.484,0.046,3.589,0.052,3.807,0.029,3.849,0.027,3.516,0.044
0000_sora_0_alpha_0.4.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.552,0.007,3.656,0.0,3.854,0.007,3.88,0.007,3.573,0.007
0000_sora_0_alpha_0.5.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.5,0.026,3.599,0.019,3.828,0.013,3.859,0.013,3.526,0.027
0000_sora_0_alpha_0.6.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.536,0.019,3.641,0.034,3.859,0.013,3.896,0.019,3.573,0.015
0000_sora_0_alpha_0.7.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.495,0.007,3.594,0.013,3.828,0.0,3.865,0.007,3.526,0.007
0000_sora_0_alpha_0.8.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.516,0.026,3.615,0.032,3.828,0.013,3.88,0.015,3.542,0.027
0000_sora_0_alpha_0.9.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.406,0.034,3.505,0.027,3.766,0.013,3.823,0.007,3.448,0.029
0000_sora_0_alpha_1.0.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.396,0.041,3.484,0.044,3.766,0.034,3.828,0.022,3.432,0.037
0000_sora_0_sora_watermark.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.776,0.019,3.885,0.019,3.953,0.013,3.839,0.007,3.802,0.007
0001_alpha_219242721_alpha_0.1.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.823,0.007,2.896,0.007,2.51,0.019,2.849,0.007,2.724,0.007
