video,prompt,visual_quality_mean,visual_quality_std,temporal_consistency_mean,temporal_consistency_std,dynamic_degree_mean,dynamic_degree_std,text_to_video_alignment_mean,text_to_video_alignment_std,factual_consistency_mean,factual_consistency_std
0000_alpha_357741999_alpha_0.3.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.7,0.141,2.967,0.047,3.667,0.236,2.8,0.0,2.167,0.125
0000_alpha_357741999_alpha_0.1.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.433,0.17,3.233,0.205,4.067,0.094,2.7,0.141,1.967,0.047
0000_alpha_357741999_alpha_0.2.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.467,0.205,2.767,0.047,4.0,0.0,2.367,0.047,1.9,0.082
0000_alpha_357741999_alpha_0.4.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.133,0.094,3.0,0.408,4.0,0.0,2.667,0.125,1.933,0.094
0000_alpha_357741999_alpha_0.5.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.167,0.236,2.8,0.0,4.0,0.0,2.7,0.216,2.167,0.236
0000_alpha_357741999_alpha_0.7.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.367,0.287,3.133,0.262,3.967,0.047,2.667,0.125,2.3,0.356
0000_alpha_357741999_alpha_0.6.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.233,0.205,2.767,0.047,3.833,0.236,2.333,0.125,1.9,0.082
0000_alpha_357741999_alpha_0.8.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.567,0.17,2.967,0.047,4.067,0.094,2.633,0.125,2.067,0.236
0000_alpha_357741999_alpha_0.9.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.333,0.236,3.0,0.163,4.0,0.0,2.567,0.33,2.1,0.283
0000_alpha_357741999_alpha_1.0.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.6,0.141,2.833,0.047,3.9,0.294,2.667,0.236,2.167,0.205
0000_hunyuan_1724_alpha_0.1.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.6,0.082,2.867,0.094,4.067,0.094,2.633,0.403,2.133,0.262
0000_alpha_357741999_sora_watermark.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.6,0.141,3.0,0.141,4.0,0.0,2.533,0.125,1.867,0.17
0000_hunyuan_1724_alpha_0.2.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.5,0.0,2.867,0.094,4.033,0.047,2.7,0.216,2.033,0.125
0000_hunyuan_1724_alpha_0.3.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.2,0.283,2.9,0.082,3.767,0.205,2.5,0.0,1.933,0.094
0000_hunyuan_1724_alpha_0.4.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.4,0.163,3.0,0.356,4.067,0.094,2.6,0.245,1.867,0.047
0000_hunyuan_1724_alpha_0.6.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.333,0.236,3.067,0.189,4.0,0.216,2.633,0.125,2.3,0.374
0000_hunyuan_1724_alpha_0.5.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.533,0.189,3.0,0.163,4.033,0.125,2.667,0.094,2.2,0.245
0000_hunyuan_1724_alpha_0.7.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.133,0.189,2.933,0.309,3.933,0.094,2.4,0.141,2.067,0.386
0000_hunyuan_1724_alpha_0.8.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.067,0.094,3.167,0.34,4.067,0.094,2.533,0.205,1.833,0.125
0000_hunyuan_1724_alpha_0.9.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.333,0.236,3.0,0.082,3.967,0.33,2.933,0.189,2.1,0.283
0000_hunyuan_1724_alpha_1.0.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.5,0.0,3.033,0.047,4.133,0.094,2.567,0.094,2.4,0.294
0000_hunyuan_1724_sora_watermark.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.267,0.377,2.933,0.189,3.833,0.236,2.4,0.283,2.033,0.34
0000_pika_1657819738_alpha_0.1.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.233,0.205,2.767,0.205,3.933,0.094,2.4,0.082,1.9,0.082
0000_pika_1657819738_alpha_0.2.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.5,0.0,3.2,0.432,4.067,0.094,2.5,0.0,2.067,0.094
0000_pika_1657819738_alpha_0.3.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.567,0.094,3.5,0.245,3.667,0.34,3.0,0.163,2.8,0.424
0000_pika_1657819738_alpha_0.5.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.5,0.0,3.133,0.047,4.0,0.0,2.567,0.17,2.1,0.141
0000_pika_1657819738_alpha_0.4.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.6,0.082,3.267,0.17,4.0,0.0,2.667,0.189,2.233,0.205
0000_pika_1657819738_alpha_0.6.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.2,0.283,2.967,0.411,3.933,0.094,2.7,0.141,2.267,0.68
0000_pika_1657819738_alpha_0.7.mp4,"A bustling city marketplace from dawn to dusk, capturing vendors setting up, colorful goods being sold, diverse crowds interacting, lights illuminating as night falls, and the vibrant energy transitioning between day and night.",3.233,0.205,2.7,0.082,3.833,0.236,2.4,0.082,1.933,0.094
